,columns,missing values count
286,Sensor - 287,33
287,Sensor - 288,33
288,Sensor - 289,33
289,Sensor - 290,33
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,8347
293,Sensor - 294,8347
294,Sensor - 295,11
295,Sensor - 296,11
296,Sensor - 297,11
297,Sensor - 298,11
298,Sensor - 299,11
299,Sensor - 300,11
300,Sensor - 301,11
301,Sensor - 302,11
302,Sensor - 303,11
303,Sensor - 304,11
304,Sensor - 305,11
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,153
314,Sensor - 315,153
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,11
327,Sensor - 328,11
328,Sensor - 329,11
329,Sensor - 330,11
330,Sensor - 331,11
331,Sensor - 332,11
332,Sensor - 333,54
333,Sensor - 334,54
334,Sensor - 335,54
335,Sensor - 336,54
336,Sensor - 337,54
337,Sensor - 338,54
338,Sensor - 339,54
339,Sensor - 340,54
340,Sensor - 341,54
341,Sensor - 342,54
342,Sensor - 343,54
343,Sensor - 344,54
344,Sensor - 345,54
345,Sensor - 346,5745
346,Sensor - 347,5745
347,Sensor - 348,54
348,Sensor - 349,264
349,Sensor - 350,264
350,Sensor - 351,264
351,Sensor - 352,264
352,Sensor - 353,264
353,Sensor - 354,264
354,Sensor - 355,264
355,Sensor - 356,264
356,Sensor - 357,11
357,Sensor - 358,22
358,Sensor - 359,6629
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,552
363,Sensor - 364,552
364,Sensor - 365,53
365,Sensor - 366,22
366,Sensor - 367,22
367,Sensor - 368,53
368,Sensor - 369,53
369,Sensor - 370,53
370,Sensor - 371,53
371,Sensor - 372,53
372,Sensor - 373,53
373,Sensor - 374,53
374,Sensor - 375,53
375,Sensor - 376,53
376,Sensor - 377,22
377,Sensor - 378,22
378,Sensor - 379,53
379,Sensor - 380,53
380,Sensor - 381,53
381,Sensor - 382,53
382,Sensor - 383,3128
383,Sensor - 384,3128
384,Sensor - 385,3128
385,Sensor - 386,6025
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,264
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,33
395,Sensor - 396,33
396,Sensor - 397,33
397,Sensor - 398,33
398,Sensor - 399,33
399,Sensor - 400,33
400,Sensor - 401,33
401,Sensor - 402,33
402,Sensor - 403,33
403,Sensor - 404,33
404,Sensor - 405,33
405,Sensor - 406,33
406,Sensor - 407,33
407,Sensor - 408,33
408,Sensor - 409,0
409,Sensor - 410,11
410,Sensor - 411,33
411,Sensor - 412,143
412,Sensor - 413,143
413,Sensor - 414,143
414,Sensor - 415,143
415,Sensor - 416,143
416,Sensor - 417,88
417,Sensor - 418,22
418,Sensor - 419,22
419,Sensor - 420,22
420,Sensor - 421,22
421,Sensor - 422,22
422,Sensor - 423,33
423,Sensor - 424,33
424,Sensor - 425,33
425,Sensor - 426,33
426,Sensor - 427,33
427,Sensor - 428,33
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,11
431,Sensor - 432,11
432,Sensor - 433,11
433,Sensor - 434,11
434,Sensor - 435,11
435,Sensor - 436,11
436,Sensor - 437,11
437,Sensor - 438,11
438,Sensor - 439,11
439,Sensor - 440,11
440,Sensor - 441,11
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,153
450,Sensor - 451,153
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,11
463,Sensor - 464,11
464,Sensor - 465,11
465,Sensor - 466,11
466,Sensor - 467,11
467,Sensor - 468,11
468,Sensor - 469,54
469,Sensor - 470,54
470,Sensor - 471,54
471,Sensor - 472,54
472,Sensor - 473,54
473,Sensor - 474,54
474,Sensor - 475,54
475,Sensor - 476,54
476,Sensor - 477,54
477,Sensor - 478,54
478,Sensor - 479,54
479,Sensor - 480,54
480,Sensor - 481,54
481,Sensor - 482,54
482,Sensor - 483,264
483,Sensor - 484,264
484,Sensor - 485,264
485,Sensor - 486,264
486,Sensor - 487,264
487,Sensor - 488,264
488,Sensor - 489,264
489,Sensor - 490,264
490,Sensor - 491,11
491,Sensor - 492,22
492,Sensor - 493,6629
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,552
497,Sensor - 498,552
498,Sensor - 499,53
499,Sensor - 500,22
500,Sensor - 501,22
501,Sensor - 502,53
502,Sensor - 503,53
503,Sensor - 504,53
504,Sensor - 505,53
505,Sensor - 506,53
506,Sensor - 507,53
507,Sensor - 508,53
508,Sensor - 509,53
509,Sensor - 510,53
510,Sensor - 511,22
511,Sensor - 512,22
512,Sensor - 513,53
513,Sensor - 514,53
514,Sensor - 515,53
515,Sensor - 516,53
516,Sensor - 517,3128
517,Sensor - 518,3128
518,Sensor - 519,3128
519,Sensor - 520,6025
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,264
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,33
529,Sensor - 530,33
530,Sensor - 531,33
531,Sensor - 532,33
532,Sensor - 533,33
533,Sensor - 534,33
534,Sensor - 535,33
535,Sensor - 536,33
536,Sensor - 537,33
537,Sensor - 538,33
538,Sensor - 539,33
539,Sensor - 540,33
540,Sensor - 541,33
541,Sensor - 542,33
542,Sensor - 543,20
543,Sensor - 544,20
544,Sensor - 545,20
545,Sensor - 546,20
546,Sensor - 547,780
547,Sensor - 548,780
548,Sensor - 549,780
549,Sensor - 550,780
550,Sensor - 551,780
551,Sensor - 552,780
552,Sensor - 553,780
553,Sensor - 554,780
554,Sensor - 555,780
555,Sensor - 556,780
556,Sensor - 557,780
557,Sensor - 558,780
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,164
563,Sensor - 564,164
564,Sensor - 565,164
565,Sensor - 566,164
566,Sensor - 567,164
567,Sensor - 568,164
568,Sensor - 569,164
569,Sensor - 570,164
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,5430
579,Sensor - 580,5430
580,Sensor - 581,5430
581,Sensor - 582,5430
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
